Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume MXN
1518825600.0,2018-02-17,BTCMXN,192291,211000,189090.01,207022,249.22,49713994.39
1518739200.0,2018-02-16,BTCMXN,189022.11,195299.99,184050.01,192291,303.66,57653747.96
1518652800.0,2018-02-15,BTCMXN,177378,196495.61,175200,189022.11,602.81,112712898.69
1518566400.0,2018-02-14,BTCMXN,161970.61,177999.1,160500.84,177378,331.31,56855880.22
1518480000.0,2018-02-13,BTCMXN,167200,167990,159030,161970.61,275.59,44824598.85
1518393600.0,2018-02-12,BTCMXN,153499.99,168990,152010,167200,224.0,36532317.75
1518307200.0,2018-02-11,BTCMXN,163499.37,163582.73,148500,153499.99,216.52,33596886.72
1518220800.0,2018-02-10,BTCMXN,163960,172000,156570,163499.37,272.16,44849606.17
1518134400.0,2018-02-09,BTCMXN,159400,164500,152000,163960,335.04,53224377.01
1518048000.0,2018-02-08,BTCMXN,147570,168200,146509.02,159400,380.83,60223752.62
1517961600.0,2018-02-07,BTCMXN,147390.89,170000,135000,147570,597.42,91742771.65
1517875200.0,2018-02-06,BTCMXN,126415.44,155555,110000,147390.89,843.13,110852377.79
1517788800.0,2018-02-05,BTCMXN,159399.1,159978.95,117246.82,126415.44,718.66,95720174.81
1517702400.0,2018-02-04,BTCMXN,172000,174599.99,150009,159399.1,239.8,38883466.63
1517616000.0,2018-02-03,BTCMXN,165320.39,176200,151000,172000,226.53,37864459.4
1517529600.0,2018-02-02,BTCMXN,166680.85,170000,140000,165320.39,735.73,115799647.19
1517443200.0,2018-02-01,BTCMXN,190000,192999.99,153000,166680.85,562.81,95458032.16
1517356800.0,2018-01-31,BTCMXN,191499.79,193500,180109.01,190000,243.57,45485189.98
1517270400.0,2018-01-30,BTCMXN,209998,214500,186000.88,191499.79,351.64,68918779.37
1517184000.0,2018-01-29,BTCMXN,217400,219497,207000,209998,170.16,35898733.97
1517097600.0,2018-01-28,BTCMXN,209000.99,222483.86,209000,217400,107.48,23325365.43
1517011200.0,2018-01-27,BTCMXN,206022.26,214000,203102,209000.99,107.1,22436770.49
1516924800.0,2018-01-26,BTCMXN,207501,214379.84,201280.26,206022.26,237.71,49240856.53
1516838400.0,2018-01-25,BTCMXN,210900,214900,203140.32,207501,158.45,33115312.12
1516752000.0,2018-01-24,BTCMXN,204500,215449,199000,210900,263.37,54315277.91
1516665600.0,2018-01-23,BTCMXN,229495.74,229495.74,229495.74,229495.74,0.0,0.0
1516579200.0,2018-01-22,BTCMXN,229495.74,229495.74,229495.74,229495.74,0.0,0.0
1516492800.0,2018-01-21,BTCMXN,229495.74,229495.74,229495.74,229495.74,0.0,0.0
1516406400.0,2018-01-20,BTCMXN,229495.74,229495.74,229495.74,229495.74,0.0,0.0
1516320000.0,2018-01-19,BTCMXN,228000,234999,220000,229495.74,102.59,23174039.8
1516233600.0,2018-01-18,BTCMXN,223862.71,260000,210001.03,228000,676.23,157573568.77
1516147200.0,2018-01-17,BTCMXN,230000,244998.76,171000,223862.71,886.1,182405017.67
1516060800.0,2018-01-16,BTCMXN,284500,285000,205019.15,230000,698.74,168146866.8
1515974400.0,2018-01-15,BTCMXN,290501,301000.88,283505.05,284500,184.67,54117321.78
1515888000.0,2018-01-14,BTCMXN,298000,301499,282500,290501,106.52,31031851.01
1515801600.0,2018-01-13,BTCMXN,289999,303899,289019.15,298000,110.69,32941008.69
1515715200.0,2018-01-12,BTCMXN,291300,298000,276000,289999,264.26,75621177.84
